Subj_idx,Stimulus,Response,Confidence,RT_decConf,Difficulty,Orientation
1,1,1,1,1.6733033395360053,6,1.6425590616883885
1,2,2,1,0.5404901881702244,6,-2.7572128015682624
1,2,1,1,0.5061822748393752,4,-9.983791384721227
1,1,2,1,0.3135335261467844,4,-6.758694704653058
1,2,2,1,0.7203455903218128,5,5.974794006999657
1,2,1,2,0.966972383495886,2,-9.525908419830447
1,2,1,2,1.3097538924776018,1,-6.708736285339222
1,2,2,1,0.3866226943791844,5,23.71879269992007
1,2,1,1,1.8050799431512128,4,30.4196962528209
1,1,1,1,1.0165883746813051,5,-1.3092456511646655
1,2,2,1,0.819537803879939,5,-10.052111942244712
1,1,1,2,0.6781875204760581,3,2.7022592869374837
1,2,2,2,0.6864982246770523,2,9.529712585059855
1,1,1,2,0.9187155851977876,4,0.9191742769484988
1,1,1,2,1.2690768874017522,4,3.7122063792904414
1,2,2,1,1.3662704011076132,3,-9.977691265916038
1,2,2,4,0.6267883504624479,1,-21.76183704513905
1,1,2,1,0.9733007443719544,6,-0.7859272867671135
1,1,1,2,0.6822695891023614,2,3.0403928999702434
1,2,2,2,1.1700957047869451,3,1.3218580350664813
1,1,2,1,0.8066091152722947,4,4.474445204359613
1,2,1,2,0.5699302796274424,1,-4.77042843074316
1,1,1,2,0.6924555175355636,3,1.5689836030108015
1,2,2,1,0.6947351642302237,4,3.051531732485909
1,1,1,2,0.9011086177197284,3,-0.10006895414290813
1,1,1,3,0.8086312274099328,2,-1.11508813605253
1,1,2,1,0.8027223625686021,5,-0.8361747414185574
1,2,1,2,0.5983925090986304,3,-7.59225451995693
1,2,2,3,0.5456671799183823,1,-12.548519894699245
1,2,2,3,0.9432641218299976,3,6.068484113505023
1,2,2,1,0.5893059938098304,5,-19.624950272257358
1,2,2,4,0.7132305140257813,3,-22.88208246379425
1,2,1,3,0.9765248986077496,4,8.366319955756985
1,1,1,3,0.4930791170336306,2,-1.7537793038437173
1,1,2,2,0.8611682964838109,4,1.6059031375334496
1,1,1,1,0.8946500463061966,4,0.3254252504411493
1,1,1,2,0.7026940433424897,2,-2.777545259675384
1,1,1,2,0.6935671179089695,1,3.4174484728523398
1,2,2,1,0.5737942615523934,5,-1.744475885080769
1,2,1,2,0.6501079048030078,1,-4.6348999658041485
1,1,1,2,1.5072207520715892,2,0.056323056182940125
1,1,2,3,0.8747996729798615,1,-6.102081795493183
1,2,2,1,0.443849908944685,6,-9.55757071912662
1,2,2,1,0.7336812670109794,4,5.013677162503146
1,2,1,1,0.7717200652696192,3,9.838555751564394
1,2,1,1,0.5358981817262247,5,4.287823058221401
1,2,2,1,0.455228258157149,5,32.98159867050255
1,2,2,3,0.651604043203406,3,-18.15572392233833
1,2,1,1,0.6067926929681562,5,14.493473232891125
1,1,1,1,0.6660926925833337,3,-1.0245975138016683
1,1,1,2,0.6582210481283255,3,-1.1236051062773864
1,2,2,4,0.7594016985385679,3,14.10474119631048
1,1,1,3,0.892656157258898,1,-2.069042162321128
1,2,2,1,0.7326706920866854,5,23.414984601293856
1,1,1,3,0.786614419950638,2,2.5104898432449954
1,1,2,1,0.5343558602617122,4,3.7564975643097567
1,1,1,2,1.0284837174112909,4,-2.6858226881051146
1,1,1,1,0.4628888717270456,6,2.0010994838066205
1,2,2,4,0.4963234763708897,2,24.21949892051876
1,1,1,2,0.7681909104576334,3,1.9584632848585244
1,1,1,3,0.5809256943757646,2,2.653752520427299
1,1,1,3,0.6244532199343666,2,-1.7235421837754659
1,1,1,1,0.4271047043148428,6,-1.4523134478355533
1,1,1,3,0.5896437073824927,1,2.3347445744248017
1,2,1,1,0.745806883671321,4,5.498007650899115
1,1,2,2,0.9915770453517324,2,5.553614798390927
1,1,2,1,0.859341820992995,2,-5.336052537323443
1,1,2,1,1.1489839568384923,2,-5.9937812508826855
1,2,1,1,0.4663753713248298,6,-4.641577723096232
1,1,2,1,0.4185338998213409,4,0.8584857035105448
1,2,2,3,0.6294441965874285,3,-11.324735141154951
1,2,2,2,0.943654432776384,1,-6.896217241273679
1,2,2,4,0.5707660645712167,1,28.32395957932127
1,1,1,2,0.6072679935023189,2,-2.634603304537011
1,2,1,1,0.5120379008585587,6,12.448400798032287
1,2,2,1,0.5795068483566865,5,9.543197127717141
1,2,2,1,0.507757309358567,5,15.541761051430528
1,2,2,2,1.1466805771924555,2,-5.944165792708381
1,2,2,2,0.6242094760527834,1,-7.887562645872093
1,2,2,3,0.7305696840048768,1,-20.60348690729189
1,2,2,1,0.4965899910312146,6,8.329647187204323
1,1,1,1,0.5281342977541499,5,-3.993884529782049
1,2,1,1,0.6864151593181305,6,-2.757685771968183
1,1,1,2,0.7907292015152052,3,2.078594146309912
1,1,2,1,0.6663582451292314,6,0.9527272693212716
1,1,1,1,0.9948355161468498,4,3.4773477174919187
1,2,2,3,0.6664002588368021,1,-12.050223361943665
1,2,1,2,0.6711808460531756,1,-0.5696112903524381
1,2,2,2,1.010679830564186,4,-21.80682616920402
1,2,2,1,0.6223974327440374,5,1.937230536568012
1,2,2,1,0.968701040779706,4,-12.741730498414896
1,2,1,3,0.9332975628785788,1,-3.273576878685666
1,2,1,1,0.4194899530848488,6,-1.2174522088182949
1,1,1,2,0.6938929649768397,4,-1.088117472360416
1,1,1,2,0.6381362316897139,1,-4.439527230689828
1,1,2,1,0.5200259651173837,6,-0.9510524155829428
1,2,1,2,0.7585829115705565,2,4.921650519743915
1,2,1,2,0.6839302545995452,1,1.9396455524319476
1,2,2,2,0.5998722910298966,3,-6.9197507370135
1,1,1,3,0.6380781821790151,1,0.030922363276637194
1,1,1,2,0.7238420321373269,2,3.8691581848211074
1,2,2,3,0.947282368026208,2,-4.173843819116893
1,2,1,2,0.7040083360625431,3,5.292678950095008
1,1,1,2,0.9362981783342548,3,0.18342388506180413
1,1,2,1,0.5346987053053454,6,-4.194367239353259
1,2,2,4,0.5486431003082544,2,-18.875359049500638
1,1,1,3,0.689373440342024,1,4.717193636319008
1,1,1,2,0.9537316386704332,4,-1.2610338168824595
1,2,2,1,0.9190879361121916,1,-6.422553865643097
1,2,2,1,0.9335717746871524,4,-3.1436660766651032
1,2,2,3,0.4837414813810028,1,-13.144979023918305
1,2,2,1,0.6757032572058961,4,-26.095446795556676
1,1,1,2,0.5561869733501226,4,-2.4444214018418142
1,1,1,1,0.457444403145928,5,0.7276549771869463
1,2,1,1,0.4106625760323368,6,8.02840122362763
1,1,1,1,0.6378097431152128,5,3.0785681776565803
1,2,1,2,0.5676920052501373,2,3.5014351722455475
1,2,1,2,0.5336486823507585,2,-0.16371826280472254
1,2,2,3,1.475388763472438,2,-11.245795144339278
1,2,2,1,0.492292080889456,6,13.134461530915784
