Subj_idx,Stimulus,Response,Confidence,RT_decConf,Difficulty,Orientation,Task
1,2,2,2,0.5240983098665309,2,6.4595569964218615,B
1,1,2,1,0.7704096719717201,3,-1.5638694698635622,A
1,1,2,1,0.7324595135687559,2,2.8460777506028325,A
1,1,2,1,0.9758627281044028,2,-9.981844160139977,A
1,1,2,1,1.4958001358572799,2,-0.5292444061495898,A
1,2,2,1,2.571065100943088,4,4.9835718544674625,A
1,2,1,1,5.357786410208064,5,-2.3262740449356354,A
1,2,2,1,0.6363065185614687,6,19.046106382006432,A
1,2,2,1,0.5589270285199746,2,4.5445722745981305,A
1,1,1,1,0.7946887033140229,6,-1.2622650554006944,A
1,2,2,1,0.5741353796292971,5,4.164736986918352,A
1,2,2,1,0.5610117262622225,2,4.441192223447737,A
1,1,2,1,0.5809738296666183,3,-1.9441783301825604,A
1,1,2,1,1.0847468118554389,1,-2.57110181303546,A
1,1,1,1,0.6762945491900609,3,-7.4448660370779915,A
1,2,1,1,0.6010860313072044,4,-2.6113327599422824,A
1,1,2,1,1.5723656316113193,5,-1.1496911717667686,A
1,1,2,1,0.03410854155299603,1,-3.398653432110197,A
1,2,2,1,0.4822473554813769,6,13.169324243514644,A
1,2,2,1,0.4824824452407484,3,4.6325682181824455,A
1,1,2,1,0.5324176913236442,4,1.8498604920441968,A
1,1,2,1,0.41783051599850296,6,-10.093974036214426,A
1,1,2,1,0.7318042770311877,5,3.2150550921295733,A
1,2,2,1,0.4585157978362986,1,8.774618019167573,A
1,1,2,1,0.6904182160251366,3,-0.7587011283029841,A
1,1,2,1,1.2156414550809131,5,-4.240641425674622,A
1,1,1,1,0.4792476357943088,2,-8.55055452149404,A
1,1,1,1,0.4617464378934528,3,-6.195175724647883,A
1,1,1,1,0.4937109479978972,5,-10.354424243072149,A
1,2,1,1,0.6605650236451766,1,0.19886260145954626,A
1,1,1,1,0.647106535750936,4,-2.8451496289891582,A
1,1,1,1,1.0090456638608885,6,-9.558331720089724,A
1,2,1,1,0.9086793343594765,5,2.0645221889731027,A
1,1,1,1,0.8917640968866181,5,-2.8986111990150936,A
1,2,2,1,0.7605047919169009,3,3.7277033815741087,A
1,1,1,1,0.8551911218819441,5,-8.513194358373706,A
1,1,2,1,0.8204873189424688,4,0.12350445595706637,A
1,1,1,2,1.817803831865604,1,-11.066323266728068,A
1,2,2,1,0.8232179522601655,6,-2.774669065512916,A
1,1,2,1,0.8372530996239219,4,1.364397600423186,A
1,2,2,1,1.4685993204548138,1,1.8914306118477464,A
1,1,1,1,0.8592845060775289,5,1.125831027647436,A
1,2,2,1,0.8246098889067071,1,3.7802627184140376,A
1,2,2,1,0.9218956765944312,2,1.1368168331633437,A
1,1,2,1,1.0565700371844289,2,-2.115811296563068,A
1,1,1,1,1.080741305686388,3,-5.133800382896316,A
1,1,1,1,1.0719608795225213,6,-2.5536178337507622,A
1,1,2,1,1.6133600901594036,4,-1.1229204407388336,A
1,2,1,1,1.001350242691842,2,5.963511330384608,A
1,2,2,1,1.6600197950065194,2,5.312114799894218,A
1,2,1,1,1.0134382823634949,2,4.4219824942039345,A
1,2,1,1,0.8355086886986101,6,5.3360347934106835,A
1,1,1,2,1.3168522475280042,2,-16.747362196930467,A
1,1,1,1,0.6014814824338828,6,-4.379697195847228,A
1,2,1,1,0.6561303904672968,4,2.460722294812438,A
1,2,1,1,0.9801565640082116,6,3.3418443601526078,A
1,2,2,1,1.0508868304168573,3,-1.821354089343788,A
1,2,1,1,1.1576836506465042,5,4.354507425469522,A
1,2,1,1,0.9525420162790396,4,0.6948501195080752,A
1,2,2,2,0.9385068689189212,1,12.087210974696788,A
1,1,1,1,0.8070458293550473,2,-3.6021952282265226,A
1,1,1,1,1.3869766687021183,2,-4.01761121903301,A
1,1,1,1,0.6576304106711177,6,-9.36298441155795,A
1,1,1,1,0.7317423775421048,4,-3.4291980816784435,A
1,1,1,1,0.6088164112516097,3,-6.699821621581367,A
1,2,1,1,0.5122362135734875,6,-0.6429751596098274,A
1,1,1,1,0.5453726445302891,6,-3.3659280694714666,A
1,1,1,1,1.1804533608192287,6,-3.8134804822349886,A
1,2,2,1,2.224698023514065,5,7.662811037722817,A
1,1,2,1,0.6298779521712277,3,4.573589331226384,A
1,2,2,1,0.5524269409652334,3,8.503114808986599,A
1,1,1,1,0.7054710166084988,3,-10.985178003119119,A
1,2,2,1,0.6974404401880747,5,-2.2233359940247017,A
1,1,2,1,1.2892688099091174,4,3.7904942918557114,A
