Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Orientation,Task
1,2,2,2,1.2558259096949769,0.9649531361451408,3,7.938273870650011,B
1,1,2,1,7.225633489503252,1.260414475068501,6,4.334462434053058,B
1,1,1,3,1.3965935506712412,0.7863159596249716,2,-1.6776340723642569,B
1,2,2,2,1.6405360799085429,0.7256354138335155,6,3.2004785977158487,B
1,2,2,4,0.920039269165045,1.2098344178002662,1,21.292430006115197,B
1,2,2,4,1.0359387909047657,0.8050820277821913,3,-17.6285970698092,B
1,2,1,2,1.5901388340098492,1.1603441728716462,6,3.686774439715572,B
1,1,1,3,2.19540739353306,1.4851239653521588,4,2.9907059856833964,B
1,1,2,2,1.571398102866624,0.8002137930857316,5,2.6206757895885353,B
1,2,1,2,1.4752742811988355,0.9850947796771834,3,-9.805887714774599,B
1,2,2,2,4.194973777793621,1.740219591733876,2,-5.2645992448388705,B
1,1,1,2,0.929930005695951,0.9052074941114371,3,3.0272914079945723,B
1,2,1,3,1.1148328013628088,1.0853183868466658,4,-4.567794215921712,B
1,1,1,1,1.2000591410815105,0.9455571705670992,5,2.0418548570968773,B
1,1,1,2,1.5556028798246189,0.7650829001454441,3,2.862702565652443,B
1,1,1,3,1.3905267789791649,0.9647023317752428,3,-1.948262832793856,B
1,2,2,4,1.2250975635411123,1.3699200889809615,6,13.035190386203293,B
1,2,2,1,2.125389356144751,1.0701120088469906,1,7.142736827038496,B
1,2,1,2,1.5366026848255387,0.9648084906580152,4,-11.839820906619575,B
1,1,2,3,1.2101445556850194,0.9446873733149914,2,3.3539995350102423,B
1,2,2,4,1.0957283718116742,0.7301845304377821,1,10.981439508300559,B
1,1,1,2,1.0666732307709026,0.8204702549865033,4,-1.026309450915714,B
1,1,1,3,1.3998068613918804,3.145464931006245,2,-1.032251046431399,B
1,1,1,4,0.9514687129567392,0.6050235281441019,1,-0.4001654254846768,B
1,1,1,2,2.8901669292308725,0.9503596573154028,6,-6.050409009004828,B
1,1,2,2,2.4054393759010964,1.354954252256448,4,1.2895623712401176,B
1,2,2,3,1.0859453977718658,1.2952009129021462,1,-6.9391209288006666,B
