Subj_idx,Stimulus,Response,Confidence,RT_decConf,Difficulty,Orientation
1,1,1,1,0.27623487706296146,1,0.22465836747386628
1,2,1,2,1.7548664170317352,2,-6.965246247176457
1,2,2,2,1.2324760891497135,1,-8.439766612187395
1,2,2,3,1.3253711219877005,1,-11.007351187738577
1,1,1,2,1.1651903779711574,2,-2.9683567973428633
1,1,1,1,1.7888047019951046,1,0.5978984353018588
1,2,1,3,2.937541659921408,3,9.952776303173057
1,1,1,2,1.7797156060114503,3,-0.4900391580670414
1,2,1,2,0.6808274071663618,1,4.368352824530325
1,2,2,3,0.7544832821004093,1,10.024749747669825
1,2,1,3,1.0832579550333319,2,10.70142028776988
1,1,1,3,0.40143417310900986,1,-3.0137030134171297
1,1,1,2,2.5574340589810163,1,-5.275467488451029
1,2,2,2,0.3133818760979921,1,1.3398318830688158
1,2,2,2,0.8929282010067254,2,9.653515618763127
1,1,1,3,0.708868773188442,3,-5.447673977738316
1,2,2,2,0.7683257830794901,3,-18.778301968157425
1,1,1,3,0.5713865282014012,3,0.7172799576898711
1,2,1,3,0.7672245930880308,3,19.43673633119482
1,2,1,3,1.7647328469902277,1,-11.373679313235414
1,1,1,2,0.9427453039679676,2,-3.5403650754807723
1,2,2,3,0.5487584620714188,2,-19.937513567367603
1,1,1,2,0.5261569838039577,1,2.27892071619172
1,2,2,2,0.3210802720859647,1,4.2634654426184495
1,2,1,2,0.2266656670253724,3,-21.613160406373783
1,2,2,2,0.6436346760019661,2,-1.8015753882875605
1,2,1,2,0.8114505892153829,2,6.701097005856052
1,2,2,2,1.1335140950977802,1,-6.312838831644204
1,1,1,2,0.4947912839706987,1,-0.08828722403532921
1,1,1,2,0.5259495838545263,1,-5.185727248739046
1,1,2,2,1.192044687923044,1,3.374916229876669
1,2,1,2,0.5538926080334932,1,-3.3485298379143487
1,1,1,2,1.0756222319323572,1,-1.7095228224578551
1,2,2,3,1.069002283969894,1,-22.5928059776508
1,1,1,2,0.31346220313571393,1,-1.0167753745933212
1,1,1,2,1.0538850231096148,2,2.8550868401272833
1,2,2,3,0.679111520992592,1,-29.38893240517015
1,1,1,3,0.5264764050953089,1,1.4404363461420768
1,1,1,3,1.041572734946385,2,2.6000826647767834
1,1,1,2,2.5285359241534024,2,-0.13818578709748525
1,1,2,3,0.2470322148874402,3,3.6060165657955023
1,2,2,2,1.957311449106783,3,-11.488634255072693
1,2,1,2,1.7609100218396634,1,10.180326568059057
1,1,1,1,2.470071960007772,2,-3.904297997911936
1,2,2,3,1.790395047981292,3,30.197312836154772
1,2,1,2,1.4583091009408236,1,-7.811467668430057
1,1,1,1,2.869122383883223,3,-0.7164413882196556
1,1,1,3,2.979344875086099,3,-1.7640127826732774
1,1,2,2,0.2832128608133644,1,-5.093499253926298
1,1,1,3,1.0326880861539394,1,-0.03887158568121561
1,1,1,1,1.4149802441243082,3,0.1952552551519436
1,1,1,1,0.9018900720402598,1,0.3206621327798393
1,2,2,2,1.1801055709365755,1,-11.240144611898877
1,2,2,2,0.9024070508312434,1,2.2132176549593687
1,1,2,2,0.4153729609679431,1,1.6158611799817053
1,1,2,2,2.337395420996472,3,-0.5966091380481977
1,2,1,2,1.3954301550984385,3,-3.5447014202607514
1,1,1,3,1.553851090138778,1,4.7347731489085305
1,1,1,2,1.4299415880814197,2,-4.711245640437137
1,2,2,2,0.5116117261350155,1,10.779823837710056
1,1,2,2,2.7101028710603714,1,2.75143316407389
1,2,2,3,0.5205655531026423,1,10.759821462358536
1,1,1,2,0.997632899088785,1,4.451329026308736
1,2,1,2,1.0476401350460949,2,-4.324769388093782
1,2,1,1,1.3870320399291811,1,-2.707721908354912
1,1,2,2,0.25416718586348,1,2.734056783956496
1,2,2,2,0.4594061621464789,1,-2.5304327086282394
1,1,1,2,0.2777628479525447,1,1.2594085761120069
1,1,1,2,0.7532331701368093,1,-4.657876885888026
1,1,2,2,0.6642636170145124,3,1.2684603239923224
1,1,2,2,0.8324911731760949,3,0.310856163322038
1,2,1,2,0.3269532881677151,1,8.186074376486777
1,2,2,2,0.2828474449925125,1,4.767483149567925
1,1,1,2,1.068203458096832,1,-3.6655659642152636
1,1,2,2,0.4089797090273351,1,0.8293924681760643
1,2,1,1,2.2440474999602884,1,-2.2714133455388312
1,2,2,3,1.552582471864298,3,14.88787023446874
1,1,1,2,1.0419745310209692,1,2.8305812309344827
1,2,2,3,0.041380241978913546,1,10.531259594218481
1,2,2,3,0.8115578808356076,2,16.14378592216209
1,2,2,3,1.1991987400688229,1,21.7999552671216
1,1,1,2,0.7742039968725294,2,3.840558916929907
1,2,1,2,0.3938779921736568,1,-13.500175029194416
1,1,1,2,1.1127379939425737,2,-0.5304758539538988
1,1,2,3,0.29044656292535365,1,1.0139357148021992
1,1,2,2,0.5693020799662918,2,-3.0508778323360097
