subject,stimtype,task,s,contrast_id,Chat,g,tf,resp,rt,C
1,grate,A,10.8039,4,1,2,1,6,1.58436,1
1,grate,A,0.595668,6,1,2,1,6,2.38809,1
1,grate,A,-3.05216,1,-1,2,1,3,2.13641,-1
1,grate,A,-5.00468,3,-1,1,1,4,1.79824,-1
1,grate,A,-0.621152,4,-1,1,0,4,1.61723,1
1,grate,A,7.14693,1,1,2,1,6,1.49189,1
1,grate,A,-6.4631,2,-1,2,1,3,1.82017,-1
1,grate,A,-3.79197,6,1,1,0,5,2.05486,-1
1,grate,A,-9.21492,2,-1,2,1,3,1.94414,-1
1,grate,A,-4.03633,2,-1,2,1,3,1.58213,-1
1,grate,A,0.114058,2,-1,1,0,4,1.60178,1
1,grate,A,2.90719,4,1,1,1,5,1.58906,1
1,grate,A,2.87706,5,1,1,1,5,1.41706,1
1,grate,A,15.9698,4,1,2,1,6,2.21173,1
1,grate,A,-1.0728,5,1,1,1,5,1.71136,1
1,grate,A,-5.78256,4,1,1,0,5,1.55032,-1
1,grate,A,-5.00706,3,-1,1,1,4,1.53963,-1
1,grate,A,1.47821,3,1,1,0,5,2.12197,-1
1,grate,A,-6.75349,3,-1,1,1,4,1.56046,-1
1,grate,A,11.6998,4,1,1,1,5,1.45359,1
1,grate,A,2.11148,4,-1,1,0,4,1.75123,1
1,grate,A,5.53668,6,-1,1,0,4,1.65259,1
1,grate,A,5.92892,6,-1,1,1,4,1.54173,-1
1,grate,A,-10.8417,4,-1,1,1,4,1.46785,-1
1,grate,A,-0.276171,1,-1,1,0,4,1.28449,1
1,grate,A,-0.479855,3,-1,1,1,4,1.12434,-1
1,grate,A,-4.64453,6,-1,1,1,4,1.29112,-1
1,grate,A,-7.13035,5,-1,1,1,4,1.35504,-1
1,grate,A,7.8465,1,1,2,1,6,1.43232,1
1,grate,A,-12.7768,3,-1,2,1,3,1.80994,-1
1,grate,A,2.24612,3,1,1,0,5,1.74125,-1
1,grate,A,-2.64887,4,1,1,0,5,1.65925,-1
1,grate,A,9.1742,4,1,1,1,5,1.19689,1
1,grate,A,-6.15167,6,1,1,0,5,1.82499,-1
1,grate,A,5.69106,1,1,2,1,6,1.37153,1
1,grate,A,6.10854,6,1,1,1,5,1.19216,1
1,grate,A,-11.0153,4,-1,2,0,3,2.74807,1
1,grate,A,5.5121,4,1,1,1,5,1.04153,1
1,grate,A,-0.080645,5,1,1,1,5,1.24311,1
1,grate,A,13.7736,2,1,2,1,6,1.82104,1
1,grate,A,5.25024,1,1,1,0,5,4.1021,-1
1,grate,A,-5.0847,5,-1,1,1,4,1.87714,-1
1,grate,A,-9.21561,3,-1,1,1,4,4.42971,-1
1,grate,A,10.7706,2,1,1,1,5,2.88037,1
1,grate,A,-5.87875,2,-1,2,1,3,2.51345,-1
1,grate,A,5.43854,6,-1,1,0,4,1.36081,1
1,grate,A,-4.3815,1,-1,1,1,4,2.73394,-1
1,grate,A,-7.04835,6,1,1,0,5,1.85969,-1
1,grate,A,6.47854,1,1,1,1,5,2.50923,1
1,grate,A,-0.395233,4,-1,1,0,4,1.53266,1
1,grate,A,0.935315,5,-1,1,1,4,2.03456,-1
1,grate,A,-6.95787,6,-1,1,0,4,1.55672,1
1,grate,A,-2.1762,5,-1,1,1,4,1.3216,-1
1,grate,A,-5.64251,4,-1,1,1,4,1.51225,-1
1,grate,A,6.79763,4,-1,1,1,4,1.16757,-1
1,grate,A,14.0801,2,1,2,1,6,1.39662,1
1,grate,A,-2.53767,1,-1,2,1,3,1.87254,-1
1,grate,A,11.4949,6,-1,1,0,4,1.46509,1
1,grate,A,3.5784,3,-1,1,0,4,1.87335,1
1,grate,A,9.14745,6,-1,1,0,4,1.80237,1
1,grate,A,-6.16007,4,-1,1,1,4,1.38132,-1
1,grate,A,-0.25441,5,-1,1,1,4,1.77766,-1
1,grate,A,7.52012,2,1,1,1,5,1.42246,1
1,grate,A,0.598842,6,-1,1,0,4,1.56067,1
1,grate,A,-1.20255,6,-1,1,0,4,1.83829,1
1,grate,A,2.59873,4,-1,1,0,4,1.70418,1
1,grate,A,-1.19237,1,1,1,0,5,3.81443,-1
1,grate,A,-6.93189,5,-1,1,1,4,1.28159,-1
1,grate,A,8.90832,5,1,1,1,5,1.04152,1
1,grate,A,-13.3117,1,-1,3,1,2,1.67508,-1
1,grate,A,0.858832,6,1,1,1,5,1.78802,1
1,grate,A,-1.22948,1,1,1,1,5,2.00694,1
1,grate,A,7.92507,2,1,2,1,6,1.35435,1
1,grate,A,3.95524,5,1,1,0,5,1.384,-1
1,grate,A,1.51561,4,1,1,1,5,1.36397,1
1,grate,A,-9.29606,4,-1,1,1,4,1.3613,-1
1,grate,A,0.290367,5,1,1,0,5,1.50272,-1
1,grate,A,-7.71424,5,-1,1,1,4,1.68593,-1
1,grate,A,0.00068202,2,-1,1,1,4,2.29382,-1
1,grate,A,7.41154,6,1,1,1,5,1.54992,1
1,grate,A,-5.67944,5,-1,1,1,4,1.41128,-1
1,grate,A,6.42253,4,1,1,1,5,1.9182,1
1,grate,A,-3.60326,5,1,1,0,5,1.2851,-1
1,grate,A,2.42853,6,-1,1,1,4,1.38119,-1
1,grate,A,0.738597,5,1,1,1,5,1.58501,1
1,grate,A,-3.75232,1,-1,1,1,4,1.98865,-1
1,grate,A,9.74917,6,-1,1,0,4,1.03304,1
1,grate,A,4.02963,1,1,1,0,5,1.25111,-1
1,grate,A,-4.42499,5,1,1,1,5,9.54335,1
1,grate,A,1.85375,4,1,1,0,5,0.829412,-1
1,grate,A,-7.54256,1,-1,2,1,3,1.53544,-1
1,grate,A,-0.744752,2,1,1,0,5,1.12545,-1
1,grate,A,3.28495,3,1,1,1,5,1.26017,1
1,grate,A,5.81061,2,1,2,1,6,1.34141,1
1,grate,A,2.12983,1,1,1,1,5,1.22674,1
1,grate,A,14.4229,2,1,2,1,6,1.06907,1
1,grate,A,4.85374,2,1,2,0,6,1.33403,-1
1,grate,A,5.6418,6,1,1,1,5,0.899713,1
1,grate,A,-7.73916,5,1,1,0,5,0.915184,-1
1,grate,A,6.76342,5,1,1,1,5,1.23386,1
1,grate,A,-1.78058,3,1,1,0,5,1.12372,-1
