subject_name,session_start_time,task,block_type,block_no,section_no,stim_type,stim_category,stim_reliability,stim_orientation,stim_phase,resp_buttonid,resp_category,resp_confidence,resp_rt,resp_correct,resp_rtConf
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.03337326996032608,7.938273870650011,105.01293979249672,2,1,2,1.2558259096949769,1,0.9649531361451409
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.004086771438464067,4.334462434053058,157.67883375166224,1,1,1,7.225633489503252,0,1.260414475068501
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.06720551273974976,-1.677634072364257,176.68039870550797,-3,-1,3,1.3965935506712412,1,0.7863159596249716
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.004086771438464067,3.2004785977158487,33.10341486148764,2,1,2,1.6405360799085429,1,0.7256354138335155
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.1353352832366127,21.2924300061152,81.03353370569825,4,1,4,0.920039269165045,1,1.2098344178002662
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.03337326996032608,-17.6285970698092,313.45053944921796,4,1,4,1.0359387909047655,1,0.8050820277821913
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.004086771438464067,3.686774439715572,294.05875422546666,-2,-1,2,1.5901388340098492,0,1.1603441728716462
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.016572675401761255,2.9907059856833964,184.19128949287986,-3,-1,3,2.19540739353306,1,1.4851239653521588
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.00822974704902003,2.620675789588535,14.68278593764163,2,1,2,1.571398102866624,0,0.8002137930857316
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.03337326996032608,-9.8058877147746,136.96375235303952,-2,-1,2,1.4752742811988355,0,0.9850947796771834
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.06720551273974976,-5.26459924483887,266.0774741101116,2,1,2,4.194973777793621,1,1.7402195917338759
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.03337326996032608,3.0272914079945723,53.34351765364033,-2,-1,2,0.929930005695951,1,0.905207494111437
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.016572675401761255,-4.567794215921712,145.8423733753753,-3,-1,3,1.1148328013628088,0,1.0853183868466658
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.00822974704902003,2.041854857096877,78.15354676594069,-1,-1,1,1.2000591410815105,1,0.9455571705670991
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.03337326996032608,2.862702565652443,149.50553990641987,-2,-1,2,1.5556028798246189,1,0.765082900145444
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.03337326996032608,-1.9482628327938558,232.5344712546545,-3,-1,3,1.390526778979165,1,0.9647023317752428
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.004086771438464067,13.035190386203297,297.6340694694993,4,1,4,1.2250975635411123,1,1.3699200889809617
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.1353352832366127,7.142736827038495,162.1319579188169,1,1,1,2.125389356144751,1,1.0701120088469906
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.016572675401761255,-11.839820906619577,37.225169648624814,-2,-1,2,1.5366026848255387,0,0.9648084906580152
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.06720551273974976,3.3539995350102423,304.3966715222795,3,1,3,1.2101445556850194,0,0.9446873733149914
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.1353352832366127,10.98143950830056,231.06173149725402,4,1,4,1.0957283718116742,1,0.7301845304377821
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.016572675401761255,-1.026309450915714,227.52693963208017,-2,-1,2,1.0666732307709026,1,0.8204702549865033
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.06720551273974976,-1.032251046431399,16.775070559290235,-3,-1,3,1.3998068613918804,1,3.145464931006245
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.1353352832366127,-0.4001654254846768,49.47099059985853,-4,-1,4,0.9514687129567392,1,0.6050235281441019
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.004086771438464067,-6.050409009004827,257.7783602142589,-2,-1,2,2.8901669292308725,1,0.9503596573154027
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.016572675401761255,1.2895623712401176,232.3275068150606,2,1,2,2.4054393759010964,0,1.354954252256448
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.1353352832366127,-6.939120928800666,346.91418186377433,3,1,3,1.0859453977718658,1,1.2952009129021462
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.004086771438464067,1.0528024433986483,36.470415340778885,2,1,2,1.3752565773606875,1,0.7750640801959889
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.06720551273974976,-0.6662974102099892,260.61958723110723,-4,-1,4,2.866566622877599,1,1.840410164568766
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,-1,0.004086771438464067,3.4278967655966515,258.0953733244392,-3,-1,3,1.2051926126246144,1,1.324667539885013
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.016572675401761255,2.2080088866950582,334.3272262186335,-3,-1,3,0.94808541973498,0,1.240346918249088
aeo,2016-02-08 11:12:52,B,Test,0,0,grate,1,0.03337326996032608,-16.613031859463995,319.82269143619345,4,1,4,0.8849513529321484,1,0.7401034904783046
