subject_name,task,block_type,stim_type,stim_category,stim_orientation,stim_cue_validity,stim_cue_validity_id,resp_confidence,resp_correct,resp_category,resp_rt
hsv,B,Test,grate,1,-7.107505930426339,1,1,3,0,-1,1.2642241700086743
hsv,B,Test,grate,1,18.258991616890725,1,1,4,1,1,0.3080113739706576
hsv,B,Test,grate,1,3.921666806675006,-1,3,2,1,1,1.2774794360157102
hsv,B,Test,grate,1,4.4608668447077635,-1,3,2,1,1,1.3870090189157054
hsv,B,Test,grate,-1,0.5733520017460885,1,1,4,1,-1,0.6293839759891853
hsv,B,Test,grate,1,4.832977521602189,-1,3,4,0,-1,1.1288916380144656
hsv,B,Test,grate,-1,0.14990857815456282,0,2,2,1,-1,1.318265573005192
hsv,B,Test,grate,-1,0.5926350724828162,1,1,3,1,-1,0.6143417089479044
hsv,B,Test,grate,-1,0.6190507785141331,-1,3,3,1,-1,1.385952443932183
hsv,B,Test,grate,-1,-4.573223811406126,1,1,3,1,-1,0.6589060480473563
hsv,B,Test,grate,1,-1.4556210433278476,1,1,4,0,-1,1.047378999995999
hsv,B,Test,grate,1,-9.870268072920206,1,1,4,1,1,0.5996878729201853
hsv,B,Test,grate,1,-9.084570661032913,1,1,4,1,1,0.40190310403704643
hsv,B,Test,grate,-1,-2.928729435720885,1,1,3,1,-1,1.356540548033081
hsv,B,Test,grate,-1,-1.4531051878247212,-1,3,2,0,1,2.659280856954865
hsv,B,Test,grate,1,8.34277019722292,-1,3,2,0,-1,1.567858963040635
hsv,B,Test,grate,1,20.07101819635284,-1,3,4,1,1,1.1091506580123678
hsv,B,Test,grate,-1,-0.8050878832742727,0,2,2,0,1,2.2703020978951827
hsv,B,Test,grate,-1,0.0825361157138056,-1,3,2,1,-1,1.599740464007482
hsv,B,Test,grate,1,4.425316953945291,1,1,3,0,-1,1.0545391299529001
hsv,B,Test,grate,1,-19.122535998893227,1,1,4,1,1,0.41452739608939737
hsv,B,Test,grate,-1,0.9923123474736302,1,1,4,1,-1,1.2005310730310157
hsv,B,Test,grate,-1,-2.6907166756948966,1,1,3,1,-1,1.3426861650077626
hsv,B,Test,grate,1,-0.2137177104306051,-1,3,4,0,-1,2.652249385952018
hsv,B,Test,grate,-1,-4.132450164946945,0,2,2,1,-1,2.039645394892432
hsv,B,Test,grate,-1,0.40091955421941083,0,2,3,1,-1,1.357713414938189
hsv,B,Test,grate,-1,-0.6745986686676377,-1,3,2,1,-1,1.4012978209648281
hsv,B,Test,grate,1,3.7297229623338652,1,1,4,0,-1,1.1213629039702937
hsv,B,Test,grate,-1,0.819023966791868,0,2,2,1,-1,1.3185045719146729
hsv,B,Test,grate,-1,-0.2766271207610339,1,1,4,1,-1,0.7536226660013199
hsv,B,Test,grate,1,-2.626151610916658,1,1,4,0,-1,0.28448082495015115
hsv,B,Test,grate,1,-16.61106639277559,1,1,4,1,1,0.4390954899135977
hsv,B,Test,grate,1,0.47977759712854606,1,1,4,0,-1,0.3571742681087926
hsv,B,Test,grate,-1,-0.04121942706605043,1,1,4,1,-1,0.40121503290720284
hsv,B,Test,grate,-1,4.104020747598641,1,1,4,1,-1,0.3654512920184061
hsv,B,Test,grate,1,4.664425997189134,1,1,4,0,-1,0.35077537107281387
hsv,B,Test,grate,1,16.415532926807643,1,1,4,1,1,0.24117602710612118
hsv,B,Test,grate,-1,2.3884154598039933,1,1,4,1,-1,0.27006471902132034
hsv,B,Test,grate,1,2.2076343404485748,1,1,4,0,-1,0.8925872170366347
hsv,B,Test,grate,-1,-0.2350990702232173,1,1,4,1,-1,0.8646983969956636
hsv,B,Test,grate,1,14.852936862820709,-1,3,2,1,1,1.8116147179389372
hsv,B,Test,grate,-1,1.0484304610911617,-1,3,3,1,-1,1.6772755259880796
hsv,B,Test,grate,1,13.902654041194186,1,1,3,1,1,1.4888601519633085
hsv,B,Test,grate,-1,-3.1144725935507926,1,1,3,1,-1,1.6320617790333927
hsv,B,Test,grate,1,-4.481367798681478,-1,3,2,0,-1,1.5451609749579802
hsv,B,Test,grate,1,14.738167609965528,1,1,4,1,1,1.6042995330644771
hsv,B,Test,grate,1,16.571477786978665,1,1,4,1,1,1.348200095933862
hsv,B,Test,grate,1,1.049945856486791,1,1,3,0,-1,3.012782864039764
hsv,B,Test,grate,-1,2.5626614624050514,0,2,2,1,-1,1.0870404629968107
hsv,B,Test,grate,1,27.414629203661402,0,2,4,1,1,0.9759786119684577
hsv,B,Test,grate,1,18.486013535434033,1,1,4,1,1,0.5500950359273702
hsv,B,Test,grate,1,-4.820132992964,-1,3,2,0,-1,0.8566326099680737
hsv,B,Test,grate,-1,-4.621297936128682,-1,3,2,1,-1,0.8420067990664393
hsv,B,Test,grate,-1,11.143487831922304,1,1,4,0,1,0.476866168086417
hsv,B,Test,grate,-1,-1.3503972018789638,-1,3,2,1,-1,2.1227868599817157
hsv,B,Test,grate,1,4.912612107021767,-1,3,3,1,1,1.3852947109844536
hsv,B,Test,grate,1,-13.57173048409041,0,2,2,1,1,1.9173350390046835
hsv,B,Test,grate,1,8.44996797862026,1,1,3,1,1,1.6342052419204265
hsv,B,Test,grate,-1,-0.10293765507545925,1,1,3,1,-1,1.0558978170156479
hsv,B,Test,grate,1,-0.2619550728506809,1,1,4,0,-1,1.0697854679310694
hsv,B,Test,grate,1,-1.901795291240013,1,1,3,0,-1,0.46616918209474534
hsv,B,Test,grate,1,4.247001430335164,1,1,3,0,-1,1.36887952091638
